,,,,,,,,,
,date,suit,rank,reversed,,,,,
,8/1/2014,wands,2,f,,,,,
,8/2/2014,wands,2,f,,,,,
,8/3/2014,wands,9,t,,,,,
,8/4/2014,cups,5,f,,,,,
,8/5/2014,trumps,5,t,,,,,
,8/7/2014,swords,11,t,,,,,
,8/8/2014,wands,11,f,,,,,
,8/10/2014,swords,6,f,,,,,
,8/11/2014,swords,8,t,,,,,
,8/12/2014,pentacles,12,f,,,,,
,8/13/2014,wands,1,f,,,,,
,8/14/2014,wands,4,f,,,,,
,8/15/2014,swords,5,f,,,,,
,8/16/2014,cups,10,t,,,,,
,8/18/2014,swords,4,f,,,,,
,8/19/2014,swords,2,t,,,,,
,8/20/2014,swords,1,t,,,,,
,8/21/2014,trumps,20,t,,,,,
,8/22/2014,swords,7,t,,,,,
,8/23/2014,cups,12,t,,,,,
,8/25/2014,trumps,20,f,,,,,
,8/26/2014,cups,8,f,,,,,
,8/27/2014,wands,7,f,,,,,
,8/28/2014,swords,7,t,,,,,
,8/29/2014,pentacles,1,f,,,,,
,8/30/2014,swords,1,f,,,,,
,8/31/2014,swords,9,f,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
