,,,,,,,,,
,date,suit,rank,reversed,,,,,
,7/1/2014,wands,14,f,,,,,
,7/2/2014,pentacles,1,f,,,,,
,7/3/2014,trumps,8,f,,,,,
,7/5/2014,pentacles,4,f,,,,,
,7/6/2014,wands,6,t,,,,,
,7/7/2014,cups,7,t,,,,,
,7/8/2014,swords,4,t,,,,,
,7/9/2014,swords,7,f,,,,,
,7/10/2014,swords,6,t,,,,,
,7/11/2014,swords,6,f,,,,,
,7/12/2014,trumps,9,f,,,,,
,7/13/2014,cups,11,f,,,,,
,7/14/2014,swords,4,t,,,,,
,7/15/2014,trumps,0,f,,,,,
,7/16/2014,swords,4,f,,,,,
,7/17/2014,trumps,1,f,,,,,
,7/18/2014,trumps,19,f,,,,,
,7/19/2014,swords,7,t,,,,,
,7/20/2014,swords,2,t,,,,,
,7/21/2014,swords,12,f,,,,,
,7/22/2014,cups,5,f,,,,,
,7/23/2014,cups,5,t,,,,,
,7/24/2012,swords,2,f,,,,,
,7/25/2014,trumps,7,f,,,,,
,7/26/2014,pentacles,10,f,,,,,
,7/28/2014,pentacles,12,f,,,,,
,7/29/2014,swords,4,f,,,,,
,7/30/2014,cups,2,f,,,,,
,7/31/2014,cups,11,t,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
