,,,,,,,,,
,date,suit,rank,reversed,,,,,
,6/1/2014,wands,9,f,,,,,
,6/2/2014,trumps,16,t,,,,,
,6/3/2014,pentacles,2,f,,,,,
,6/4/2014,pentacles,1,f,,,,,
,6/5/2014,pentacles,1,f,,,,,
,6/6/2014,cups,8,f,,,,,
,6/7/2014,pentacles,1,f,,,,,
,6/8/2014,swords,11,t,,,,,
,6/9/2014,wands,13,t,,,,,
,6/10/2014,cups,4,t,,,,,
,6/11/2014,trumps,17,t,,,,,
,6/12/2014,trumps,13,t,,,,,
,6/13/2014,cups,10,t,,,,,
,6/14/2014,cups,1,f,,,,,
,6/15/2014,trumps,17,t,,,,,
,6/16/2014,cups,7,t,,,,,
,6/17/2014,trumps,20,t,,,,,
,6/18/2014,trumps,12,t,,,,,
,6/19/2014,pentacles,8,t,,,,,
,6/20/2014,,,,,,,,
,6/21/2014,pentacles,8,f,,,,,
,6/22/2014,pentacles,7,f,,,,,
,6/23/2014,cups,4,f,,,,,
,6/24/2014,wands,6,f,,,,,
,6/25/2014,trumps,5,t,,,,,
,6/26/2014,cups,7,t,,,,,
,6/27/2014,pentacles,6,t,,,,,
,6/28,pentacles,1,t,,,,,
,6/29/2014,cups,10,f,,,,,
,6/30/2014,wands,13,t,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
