,,,,,,,,,
,date,suit,rank,reversed,,,,,
,9/1/2014,cups,3,f,,,,,
,9/2/2014,trumps,18,f,,,,,
,9/3/2014,pentacles,9,f,,,,,
,9/4/2014,trumps,13,t,,,,,
,9/5/2014,wands,10,t,,,,,
,9/6/2014,wands,2,f,,,,,
,9/8/2014,swords,8,t,,,,,
,9/9/2014,trumps,15,f,,,,,
,9/10/2014,swords,8,t,,,,,
,9/11/2014,swords,11,t,,,,,
,9/12/2014,wands,9,f,,,,,
,9/13/2014,pentacles,10,f,,,,,
,9/15/2014,swords,8,f,,,,,
,9/16/2014,trumps,14,f,,,,,
,9/17/2014,wands,14,f,,,,,
,9/18/2014,cups,10,t,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
